general;1252250;1341708;1258630;1345739;1265694;1354909;1271599;1362414;1255605;1343200;1269913;1360500;1255711;1345314;1276886;1367949;1261926;1352966;1258529;1347944;1264411;1355003;1258133;1345705;species_consumer_generic0;normal;commercial;1;1793;1793;1590;1590;1613;1613;1830;1830;1961;1961;1670;1670;1936;1936;1640;1640;1626;1626;1738;1738;1970;1970;1914;1914;
 species_consumer_generic1;normal;residential;0;99;99;82;82;63;63;50;50;95;95;72;72;54;54;54;54;77;77;52;52;90;90;74;74;
 species_consumer_generic2;normal;residential;5;627;627;918;918;705;705;583;583;641;641;773;773;772;772;930;930;878;878;845;845;594;594;740;740;
 species_consumer_generic3;normal;residential;1;146;146;131;131;199;199;164;164;150;150;197;197;132;132;143;143;145;145;114;114;193;193;197;197;
 species_consumer_generic4;normal;residential;0;58;58;89;89;84;84;61;61;98;98;69;69;94;94;66;66;93;93;51;51;85;85;60;60;
 species_consumer_generic5;normal;residential;4;419;419;431;431;483;483;460;460;500;500;419;419;449;449;455;455;432;432;453;453;430;430;406;406;
 species_consumer_generic6;normal;residential;5;836;836;518;518;848;848;521;521;819;819;501;501;879;879;509;509;982;982;612;612;631;631;609;609;
 species_consumer_generic7;normal;commercial;3;3168;3168;3794;3794;3984;3984;3432;3432;3978;3978;3719;3719;3865;3865;3366;3366;3061;3061;3224;3224;3270;3270;3667;3667;
 species_consumer_generic8;irregular;commercial;0;1444;2166;1401;2101;1046;1569;1174;1761;1414;2121;1263;1894;1168;1752;1323;1984;1372;2058;1078;1617;1001;1501;1423;2134;
 species_consumer_generic9;normal;residential;1;172;172;122;122;108;108;106;106;116;116;172;172;158;158;173;173;170;170;188;188;141;141;132;132;
 species_consumer_generic10;normal;commercial;4;4630;4630;4079;4079;4735;4735;5131;5131;4867;4867;4496;4496;4708;4708;5495;5495;5286;5286;5326;5326;4999;4999;4827;4827;
 species_consumer_generic11;normal;commercial;3;3447;3447;3505;3505;3524;3524;3726;3726;3129;3129;3852;3852;3308;3308;3557;3557;3635;3635;3927;3927;3446;3446;3191;3191;
 species_consumer_generic12;normal;residential;4;431;431;418;418;493;493;445;445;418;418;486;486;401;401;436;436;466;466;484;484;447;447;401;401;
 species_consumer_generic13;normal;commercial;3;3922;3922;3535;3535;3663;3663;3612;3612;3491;3491;3266;3266;3892;3892;3537;3537;3631;3631;3175;3175;3111;3111;3919;3919;
 species_consumer_generic14;normal;commercial;3;3681;3681;3891;3891;3428;3428;3266;3266;3385;3385;3543;3543;3975;3975;3032;3032;3783;3783;3956;3956;3793;3793;3365;3365;
 species_consumer_generic15;normal;residential;1;129;129;148;148;139;139;117;117;196;196;159;159;158;158;142;142;195;195;129;129;129;129;116;116;
 species_consumer_generic16;irregular;residential;3;397;595;314;471;329;493;369;553;386;579;375;562;361;541;380;570;321;481;397;595;339;508;351;526;
 species_consumer_generic17;normal;residential;1;115;115;104;104;172;172;132;132;130;130;137;137;138;138;195;195;180;180;176;176;121;121;124;124;
 species_consumer_generic18;normal;residential;0;96;96;97;97;99;99;50;50;100;100;94;94;59;59;96;96;53;53;92;92;82;82;53;53;
 species_consumer_generic19;normal;residential;1;163;163;122;122;158;158;181;181;167;167;140;140;161;161;149;149;129;129;174;174;123;123;148;148;
 species_consumer_generic20;normal;commercial;5;6621;6621;6880;6880;7085;7085;6781;6781;6446;6446;7865;7865;5714;5714;6346;6346;5858;5858;7184;7184;6042;6042;7034;7034;
 species_consumer_generic21;normal;residential;1;115;115;117;117;200;200;196;196;200;200;104;104;105;105;154;154;125;125;197;197;142;142;179;179;
 species_consumer_generic22;normal;commercial;1;1701;1701;1728;1728;1866;1866;1795;1795;1547;1547;1911;1911;1571;1571;1592;1592;1529;1529;1675;1675;1592;1592;1808;1808;
 species_consumer_generic23;normal;residential;4;450;450;483;483;436;436;452;452;437;437;404;404;456;456;474;474;466;466;433;433;426;426;456;456;
 species_consumer_generic24;irregular;residential;2;217;325;260;390;242;363;269;403;259;388;223;334;297;445;246;369;274;411;208;312;272;408;216;324;
 species_consumer_generic25;irregular;residential;5;666;999;525;787;740;1110;959;1438;970;1455;627;940;784;1176;613;919;962;1443;591;886;791;1186;522;783;
 species_consumer_generic26;normal;commercial;1;1716;1716;1965;1965;1899;1899;1590;1590;1807;1807;1862;1862;1858;1858;1900;1900;1866;1866;1825;1825;1939;1939;1648;1648;
 species_consumer_generic27;normal;commercial;4;4313;4313;5263;5263;4567;4567;5062;5062;4732;4732;4216;4216;4348;4348;4409;4409;4282;4282;5223;5223;4500;4500;5151;5151;
 species_consumer_generic28;normal;residential;0;53;53;66;66;69;69;71;71;74;74;50;50;55;55;54;54;76;76;92;92;80;80;95;95;
