is_irregularspecies_consumer_generic3;normal;
species_consumer_generic4;normal;
species_consumer_generic6;normal;
species_consumer_generic15;normal;
species_consumer_generic17;normal;
species_consumer_generic18;normal;
species_consumer_generic21;normal;
species_consumer_generic25;irregular;
species_consumer_generic28;normal;
species_consumer_generic29;normal;
species_consumer_generic35;normal;
species_consumer_generic44;normal;
species_consumer_generic49;normal;
species_consumer_generic51;normal;
species_consumer_generic53;normal;
species_consumer_generic60;irregular;
species_consumer_generic61;normal;
species_consumer_generic69;normal;
species_consumer_generic70;normal;
species_consumer_generic74;normal;
species_consumer_generic76;normal;
species_consumer_generic81;normal;
species_consumer_generic82;normal;
species_consumer_generic88;normal;
species_consumer_generic90;normal;
species_consumer_generic91;normal;
species_consumer_generic104;irregular;
species_consumer_generic109;normal;
species_consumer_generic110;normal;
species_consumer_generic111;normal;
species_consumer_generic116;normal;
species_consumer_generic118;normal;
species_consumer_generic119;normal;
species_consumer_generic120;normal;
species_consumer_generic122;normal;
species_consumer_generic125;normal;
species_consumer_generic126;normal;
species_consumer_generic133;normal;
species_consumer_generic136;normal;
species_consumer_generic138;normal;
species_consumer_generic142;normal;
species_consumer_generic143;normal;
species_consumer_generic149;normal;
species_consumer_generic150;normal;
species_consumer_generic153;irregular;
species_consumer_generic155;normal;
species_consumer_generic161;normal;
species_consumer_generic167;normal;
species_consumer_generic168;normal;
species_consumer_generic179;normal;
species_consumer_generic182;normal;
species_consumer_generic192;normal;
species_consumer_generic196;normal;
species_consumer_generic199;normal;
species_consumer_generic202;normal;
species_consumer_generic207;normal;
species_consumer_generic208;normal;
species_consumer_generic210;normal;
species_consumer_generic211;normal;
species_consumer_generic212;normal;
species_consumer_generic215;normal;
species_consumer_generic216;irregular;
species_consumer_generic222;normal;
species_consumer_generic223;normal;
species_consumer_generic228;normal;
species_consumer_generic229;normal;
species_consumer_generic231;normal;
species_consumer_generic238;normal;
species_consumer_generic246;normal;
species_consumer_generic249;normal;
species_consumer_generic256;normal;
species_consumer_generic259;normal;
species_consumer_generic262;normal;
species_consumer_generic270;normal;
species_consumer_generic276;normal;
species_consumer_generic277;normal;
species_consumer_generic278;normal;
species_consumer_generic280;normal;
species_consumer_generic281;irregular;
species_consumer_generic282;normal;
species_consumer_generic283;irregular;
species_consumer_generic290;normal;
species_consumer_generic291;normal;
species_consumer_generic300;normal;
species_consumer_generic302;normal;
species_consumer_generic303;normal;
species_consumer_generic307;normal;
species_consumer_generic308;normal;
species_consumer_generic311;normal;
species_consumer_generic312;normal;
species_consumer_generic316;normal;
species_consumer_generic318;irregular;
species_consumer_generic320;normal;
species_consumer_generic331;normal;
species_consumer_generic333;irregular;
species_consumer_generic338;normal;
species_consumer_generic346;normal;
species_consumer_generic352;normal;
species_consumer_generic354;normal;
species_consumer_generic355;normal;
species_consumer_generic357;normal;
species_consumer_generic358;normal;
species_consumer_generic359;normal;
species_consumer_generic360;normal;
species_consumer_generic367;normal;
species_consumer_generic369;normal;
species_consumer_generic371;normal;
species_consumer_generic383;normal;
species_consumer_generic390;normal;
species_consumer_generic394;irregular;
species_consumer_generic403;normal;
species_consumer_generic404;normal;
species_consumer_generic412;normal;
species_consumer_generic414;irregular;
species_consumer_generic416;normal;
species_consumer_generic418;normal;
species_consumer_generic422;irregular;
species_consumer_generic425;normal;
species_consumer_generic429;normal;
species_consumer_generic430;normal;
species_consumer_generic431;normal;
species_consumer_generic442;irregular;
species_consumer_generic443;normal;
species_consumer_generic445;normal;
species_consumer_generic447;normal;
species_consumer_generic450;normal;
species_consumer_generic456;normal;
species_consumer_generic458;normal;
species_consumer_generic461;normal;
species_consumer_generic463;normal;
species_consumer_generic466;normal;
species_consumer_generic470;normal;
species_consumer_generic471;normal;
species_consumer_generic473;normal;
species_consumer_generic474;normal;
species_consumer_generic481;normal;
species_consumer_generic487;normal;
species_consumer_generic489;normal;
species_consumer_generic493;normal;
species_consumer_generic500;normal;
species_consumer_generic501;normal;
species_consumer_generic505;normal;
species_consumer_generic506;normal;
species_consumer_generic512;normal;
species_consumer_generic513;normal;
species_consumer_generic514;normal;
species_consumer_generic517;normal;
species_consumer_generic533;normal;
species_consumer_generic537;normal;
species_consumer_generic544;normal;
species_consumer_generic546;normal;
species_consumer_generic547;normal;
species_consumer_generic548;normal;
species_consumer_generic549;normal;
species_consumer_generic552;normal;
species_consumer_generic553;normal;
species_consumer_generic559;normal;
species_consumer_generic562;normal;
species_consumer_generic563;normal;
species_consumer_generic566;normal;
species_consumer_generic568;normal;
species_consumer_generic570;normal;
species_consumer_generic575;normal;
species_consumer_generic577;normal;
species_consumer_generic584;normal;
species_consumer_generic586;normal;
species_consumer_generic589;normal;
species_consumer_generic595;normal;
