general;1255439;1346841;1246314;1339382;1256294;1341372;1253312;1341888;1258102;1344832;1258717;1331217;1253727;1344383;1243330;1336498;1261562;1343541;1254756;1338405;1246208;1336348;0;0;species_consumer_generic0;normal;residential - 1;147;147;182;182;198;198;108;108;192;192;128;128;184;184;133;133;177;177;140;140;182;182;0;0;
species_consumer_generic1;normal;residential - 5;776;776;855;855;993;993;678;678;765;765;667;667;939;939;868;868;894;894;653;653;703;703;0;0;
species_consumer_generic2;irregular;residential - 5;255;765;273;1231;497;1492;302;907;677;1015;411;1233;466;1399;866;1299;249;1120;734;1101;553;829;0;0;
species_consumer_generic3;normal;residential - 0;99;99;53;53;96;96;74;74;82;82;96;96;91;91;57;57;80;80;86;86;57;57;0;0;
species_consumer_generic4;normal;residential - 3;336;336;369;369;346;346;381;381;346;346;389;389;377;377;370;370;343;343;308;308;303;303;0;0;
species_consumer_generic5;normal;commercial - 2;2330;2330;2455;2455;2657;2657;2548;2548;2395;2395;2708;2708;2166;2166;2752;2752;2627;2627;2214;2214;2037;2037;0;0;
species_consumer_generic6;normal;residential - 0;73;73;53;53;50;50;53;53;86;86;55;55;85;85;80;80;60;60;98;98;85;85;0;0;
species_consumer_generic7;normal;residential - 4;447;447;420;420;479;479;484;484;494;494;439;439;414;414;497;497;465;465;403;403;416;416;0;0;
species_consumer_generic8;normal;residential - 1;119;119;181;181;151;151;130;130;150;150;121;121;118;118;151;151;105;105;192;192;103;103;0;0;
species_consumer_generic9;normal;commercial - 5;7942;7942;6976;6976;7504;7504;7686;7686;5998;5998;5589;5589;6182;6182;7204;7204;7120;7120;5890;5890;7792;7792;0;0;
species_consumer_generic10;normal;residential - 5;771;771;597;597;963;963;647;647;627;627;738;738;756;756;915;915;680;680;970;970;723;723;0;0;
species_consumer_generic11;normal;residential - 0;100;100;80;80;84;84;77;77;83;83;85;85;71;71;79;79;59;59;97;97;50;50;0;0;
species_consumer_generic12;normal;commercial - 1;1912;1912;1584;1584;1941;1941;1627;1627;1624;1624;1513;1513;1533;1533;1721;1721;1975;1975;1841;1841;1921;1921;0;0;
